level_key,l1,l2,l3,task
Video process // Abnormal event detection in video,Video process,Abnormal event detection in video,Anomaly detection in surveillance videos,Anomaly detection in surveillance videos
Video process // Abnormal event detection in video,Video process,Abnormal event detection in video,Abnormal event detection in video,Abnormal event detection in video
Video process // Action classification,Video process,Action classification,Skeleton based action recognition,Skeleton based action recognition
Video process // Action classification,Video process,Action classification,Action classification,Action classification
Video process // Action spotting,Video process,Action spotting,Action spotting,Action spotting
Video process // Activity recognition in videos,Video process,Activity recognition in videos,Activity recognition in videos,Activity recognition in videos
Video process // Object tracking,Video process,Object tracking,Visual object tracking,Visual object tracking
Video process // Object tracking,Video process,Object tracking,Multi-object tracking,Multi-object tracking
Video process // Object tracking,Video process,Object tracking,Online multi-object tracking,Online multi-object tracking
Video process // Object tracking,Video process,Object tracking,Multiple object tracking,Multiple object tracking
Video process // Video Enhancement,Video process,Video Enhancement,Video Enhancement,Video Enhancement
Video process // Video Quality Assessment,Video process,Video Quality Assessment,Video Quality Assessment,Video Quality Assessment
Video process // Video captioning,Video process,Video captioning,Video captioning,Video captioning
Video process // Video captioning,Video process,Video captioning,Dense video captioning,Dense video captioning
Video process // Video classification,Video process,Video classification,Action recognition,Self-supervised action recognition
Video process // Video classification,Video process,Video classification,Action recognition,Skeleton based action recognition
Video process // Video classification,Video process,Video classification,Action recognition,Deblurring
Video process // Video classification,Video process,Video classification,Action recognition,Few Shot Action Recognition
Video process // Video classification,Video process,Video classification,Video classification,Video classification
Video process // Video classification,Video process,Video classification,Action recognition,Action recognition
Video process // Video classification,Video process,Video classification,Action recognition,3D semantic segmentation
Video process // Video denoising,Video process,Video denoising,Video denoising,Video denoising
Video process // Video frame interpolation,Video process,Video frame interpolation,Video frame interpolation,Video frame interpolation
Video process // Video generation,Video process,Video generation,Video generation,Video generation
Video process // Video inpainting,Video process,Video inpainting,Video inpainting,Video inpainting
Video process // Video instance segmentation,Video process,Video instance segmentation,Video instance segmentation,Video instance segmentation
Video process // Video object segmentation // Interactive video object segmentation,Video process,Video object segmentation,Interactive video object segmentation,Interactive video object segmentation
Video process // Video object segmentation // Semi-supervised video object segmentation,Video process,Video object segmentation,Semi-supervised video object segmentation,Semi-supervised video object segmentation
Video process // Video object segmentation // Semi-supervised video object segmentation,Video process,Video object segmentation,Semi-supervised video object segmentation,One-shot visual object segmentation
Video process // Video object segmentation // Unsupervised video object segmentation,Video process,Video object segmentation,Unsupervised video object segmentation,Unsupervised video object segmentation
Video process // Video object segmentation // Video salient object detection,Video process,Video object segmentation,Video salient object detection,Video salient object detection
Video process // Video prediction,Video process,Video prediction,Video prediction,Video prediction
Video process // Video question answering,Video process,Video question answering,Video question answering,Video question answering
Video process // Video retrieval,Video process,Video retrieval,Video retrieval,Video retrieval
Video process // Video segmentation,Video process,Video segmentation,Camera shot boundary detection,Camera shot boundary detection
Video process // Video semantic segmentation,Video process,Video semantic segmentation,Video semantic segmentation,Video semantic segmentation
Video process // Video summarization,Video process,Video summarization,Unsupervised video summarization,Unsupervised video summarization
Video process // Video summarization,Video process,Video summarization,Video summarization,Video summarization
Video process // Video summarization,Video process,Video summarization,Supervised video summarization,Supervised video summarization
Video process // Video super-resolution,Video process,Video super-resolution,Video super-resolution,Video super-resolution
Visual Odometry,Visual Odometry,Face anti-spoofing,Face anti-spoofing,Face anti-spoofing
Visual Relationship Detection,Visual Relationship Detection,Visual Relationship Detection,Visual Relationship Detection,Visual Relationship Detection
Visual dialog,Visual dialog,Visual dialog,Visual dialog,Visual dialog
Visual place recognition,Visual place recognition,Visual place recognition,Visual place recognition,Visual place recognition
Visual reasoning,Visual reasoning,Visual reasoning,Visual reasoning,Visual reasoning
Weakly-supervised instance segmentation,Weakly-supervised instance segmentation,Weakly-supervised instance segmentation,Weakly-supervised instance segmentation,Weakly-supervised instance segmentation
Zero-Shot Action Recognition,Zero-Shot Action Recognition,Zero-Shot Action Recognition,Zero-Shot Action Recognition,Zero-Shot Action Recognition
