level_key,l1,l2,l3,task
Generation // Text summarization,Natural language generation,Text summarization,Reasoning,Common sense reasoning
Generation // Text summarization,Natural language generation,Text summarization,Reasoning,Automated theorem proving
Generation // Text summarization,Natural language generation,Text summarization,Multi-document summarization,Multi-document summarization
Generation // Text summarization,Natural language generation,Text summarization,Abstractive text summarization,Abstractive text summarization
Generation // Text summarization,Natural language generation,Text summarization,Reasoning,Cross-lingual natural language inference
Generation // Text summarization,Natural language generation,Text summarization,Reasoning,Math word problem solving
Generation // Text-to-speech synthesis,Natural language generation,Text-to-speech synthesis,Text-to-speech synthesis,Text-to-speech synthesis
Natural language understanding,Natural language understanding,Inference and reasoning,Natural language inference,Natural language inference
Natural language understanding,Natural language understanding,Inference and reasoning,Reading comprehension,Reading comprehension
Natural language understanding,Natural language understanding,Natural language understanding,Natural language understanding,Natural language understanding
Natural language understanding,Natural language understanding,Inference and reasoning,Table-based fact verification,Table-based fact verification
Natural language understanding,Natural language understanding,Inference and reasoning,Natural language inference,Visual Entailment
Natural language understanding,Natural language understanding,Discourse parsing,Discourse parsing,Discourse parsing
Natural language understanding,Natural language understanding,Inference and reasoning,Natural language inference,Cross-lingual natural language inference
Natural language understanding,Natural language understanding,Dialog understanding,Spoken language understanding,Spoken language understanding
